n,tau,d,semilla,auc_cv,auc_resub,C,l1_ratio,n_coef_no_cero,tasa,variante
41,-1.0,0.0,-1,0.5800000000000001,0.86,1.0,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4353448275862069,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.49137931034482757,0.6724137931034483,0.01,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.45641025641025634,0.6461538461538461,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5652173913043478,0.678743961352657,0.01,0.0,9,0.5609756097560976,copula
41,-1.0,0.0,-1,0.6425000000000001,0.87,1.0,0.5,7,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5743589743589744,0.7410256410256411,0.1,0.5,2,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5012820512820513,0.6820512820512821,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4885057471264368,0.6695402298850575,0.01,0.0,9,0.7073170731707317,copula
41,-1.0,0.0,-1,0.47096774193548385,0.732258064516129,0.01,0.0,9,0.7560975609756098,copula
41,-1.0,0.0,-1,0.4193121693121693,0.8042328042328043,1.0,0.5,6,0.6585365853658537,copula
41,-1.0,0.0,-1,0.7645502645502646,0.9126984126984127,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.7333333333333334,0.9181818181818182,1.0,0.0,9,0.7317073170731707,copula
41,-1.0,0.0,-1,0.40476190476190477,0.6714285714285715,0.01,0.0,9,0.4878048780487805,copula
41,-1.0,0.0,-1,0.48874999999999996,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.46,0.8075,1.0,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4708994708994709,0.7962962962962964,1.0,0.5,8,0.6585365853658537,copula
41,-1.0,0.0,-1,0.44202898550724634,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.3811274509803922,0.5,0.01,0.5,0,0.5853658536585366,copula
41,-1.0,0.0,-1,0.3679487179487179,0.6538461538461539,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.3591954022988506,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.49047619047619045,0.5,0.01,0.5,0,0.4878048780487805,copula
41,-1.0,0.0,-1,0.3380952380952381,0.5,0.01,0.5,0,0.4878048780487805,copula
41,-1.0,0.0,-1,0.514367816091954,0.8103448275862069,1.0,1.0,6,0.7073170731707317,copula
41,-1.0,0.0,-1,0.6641025641025642,0.8794871794871796,1.0,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4129032258064516,0.7612903225806451,0.1,0.0,9,0.7560975609756098,copula
41,-1.0,0.0,-1,0.405,0.5,0.01,0.5,0,0.6097560975609756,copula
41,-1.0,0.0,-1,0.4019607843137255,0.6715686274509804,1.0,1.0,4,0.4146341463414634,copula
41,-1.0,0.0,-1,0.625,0.7794117647058822,0.1,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.3384615384615384,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4642857142857142,0.5,0.01,0.5,0,0.6585365853658537,copula
41,-1.0,0.0,-1,0.39855072463768115,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.41954022988505746,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.45467032967032966,0.5,0.01,0.5,0,0.6829268292682927,copula
41,-1.0,0.0,-1,0.5794871794871795,0.8025641025641026,1.0,0.5,7,0.6341463414634146,copula
41,-1.0,0.0,-1,0.4346153846153846,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.5719696969696969,0.7424242424242424,0.01,0.0,9,0.8048780487804879,copula
41,-1.0,0.0,-1,0.4923076923076922,0.6615384615384615,0.01,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.3115942028985508,0.7777777777777777,1.0,0.5,8,0.5609756097560976,copula
41,-1.0,0.0,-1,0.2971014492753623,0.5,0.01,0.5,0,0.5609756097560976,copula
41,-1.0,0.0,-1,0.5154761904761904,0.6952380952380952,0.1,0.5,1,0.5121951219512195,copula
41,-1.0,0.0,-1,0.6176470588235294,0.7965686274509804,0.01,0.0,9,0.5853658536585366,copula
41,-1.0,0.0,-1,0.49230769230769234,0.5,0.01,0.5,0,0.6341463414634146,copula
41,-1.0,0.0,-1,0.7116402116402117,0.8439153439153438,1.0,0.0,9,0.6585365853658537,copula
41,-1.0,0.0,-1,0.5028735632183908,0.5,0.01,0.5,0,0.7073170731707317,copula
41,-1.0,0.0,-1,0.6425000000000001,0.7224999999999999,0.01,0.0,9,0.6097560975609756,copula
41,-1.0,0.0,-1,0.5397435897435898,0.8512820512820513,1.0,0.0,9,0.6341463414634146,copula
41,-1.0,0.0,-1,0.7416267942583733,0.84688995215311,0.1,0.5,3,0.5365853658536586,copula
